name,address,phone,email,website,hours,services,brands,languages,payment,rating,reviews,additional,Latitude,Longitude
,33A Grand-Rue L-3394 Roeser Réiser,,,,,Service Center Fouhren Sarl,,,,287.0,,,,
,32 Route de Diekirch L-9455 Fouhren Furen,,,,,,,,,288.0,,,,
,64 Rue Jean-Pierre Bausch L-4023 Esch-sur-Alzette Esch-Uelzecht,,,,,Autohaus Reiter GmbH  Co,,,,,,,,
,48 Rue Jos Kieffer L-4176 Esch-sur-Alzette Esch-Uelzecht,,,,,,,,,,,,,
,296-298 Route de Longwy L-1940 Luxembourg Létzebuerg,,,,,,,,,,,,,
,8 Route de Longwy L-8080 Bertrange Bartreng,,,,,,,,,,,,,
,98 Route de Luxembourg L-4760 Pétange Péiteng,,,,,,,,,,,,,
,53 Route de Peppange L-3270 Bettembourg Beetebuerg,,,,,,,,,297.0,,,,
,40A Rue Robert Schuman L-5751 Frisange Fréiseng,,,,,,,,,,,,,
,318 Route de Longwy L-1940 Luxembourg Létzebuerg,,,,,Frontlines Pneus  Autos Services,,,,,,,,
,13 Haaptstrooss L-8538 Hovelange Huewel,,,,,jate sector  Servicesatthe specialists  Trading,,,,,,"arch by activity Duty Pharmacies Digital Marketing Agency arch by location Hospitals on duty Marketing solutions for companies C quest a quote Route information Website creation ictical guide Horoscope Ecommerce website E Postcode Finder Business Directory Registration E ectly access an activity on Luxembourg ication, training and employment  Garage, transport and mobility  Hotel,Restaurant,Tavern e Ind age Editus.lu provides you with all the results for Garage. Refine your search Luxembourg, Esch-sur-Alzette, Bertrange, Bodywork, C ing for address, telephone number, fax number... Call your contacts free of charge and locate them on a map.",,
"in   1.0.2501.2403 Copyright  2025 - Editus Luxembourg S.A. - 208, rue de Noertzange L-3670",L-4149 Esch-sur-Alzette Esch-Uelzecht,,,,,,,,,,,,,
,95 Rue des Bruyéres L-1274 Howald Houwald,,,,,Garage Metti Vélzer Sarl,,,,263.0,,,,
,10 Route de Grevenmacher L-6912 Roodt-sur-Syre Rued-Sir,,,,,,,,,,,,,
,6 A Route de Luxembourg L-6910 Roodt-sur-Syre Rued-Sir,,,,,,,,,,,,,
,113 Route de Longwy L-4994 Schouweiler Schuller,,,,,,,,,,,,,
,L-4562 Differdange Déifferdang,,,,,,,,,267.0,,,,
,6 Route de Diekirch L-9834 Holzthum Holztem,,,,,Garage du Riesenhoff SA,,,,268.0,,,,
,32 Rue Principale L-8818 Grevels Gréiwels,,,,,,,,,,,,,
,6 Route de Luxembourg L-5670 Altwies Altwis,,,,,,,,,,,,,
,45 An der Fraesbich L-8509 Redange-sur-Attert Réiden Atert,,,,,René Beelener et CIE Sarl,,,,,,,,
,1 Rue Alphonse Sinner L-7546 Rollingen Rolleng,,,,,,,,,,,,,
,3 Zone A. C. Kléngbusbierg L-7795 Bissen Biissen,,,,,,,,,,,,,
,1 Avenue de Luxembourg L-4950 Bascharage Nidderkderjeng,,,,,,,,,274.0,,,,
,L-8070 Bertrange Bartreng,,,,,Aero AutoFactoria Group SA,,,,275.0,,,,
,1 Zone Industrielle Letzebuerger Heck L-3844 Schifflange Schéffleng,,,,,,,,,,,,,
,54 Route dArlon L-8008 Strassen Stroossen,,,,,,,,,277.0,,,,
,49 Duarrefstrooss L-9964 Huldange Huldang,,,,,,,,,278.0,,,,
,6a Rue Principale L-9806 Hosingen Housen,,,,,,,,,279.0,,,,
,240 Route de Luxembourg L-3515 Dudelange Diddeleng,,,,,,,,,,,,,
,110-112 Rue de Hobscheid L-8422 Steinfort Stengefort,,,,,rivate sector e Services atthe specialists  Trading,,,,,,"earch by activity Duty Pharmacies Digital Marketing Agency earch by location Hospitals on duty Marketing solutions for companies equest a quote Route information Website creation ractical guide Horoscope Ecommerce website Postcode Finder Business Directory Registration Jirectly access an activity on Luxembourg ducation, training and employment  Garage, transport and mobility  Hotel,Restaurant,Tavern e In arage Editus.lu provides you with all the results for Garage. Refine your search Luxembourg, Esch-sur-Alzette, Bertrange, Bodywork,",,
,64 Rue Jean-Pierre Bausch L-4023 Esch-sur-Alzette Esch-Uelzecht,,,,,De Freitas Gaudencio Olimpio,,,,,,,,
,2 Rue de IEau L-4920 Bascharage Nidderkderjeng,,,,,Autohaus Reiter GmbH  Co,,,,,,,,
,35 Route dEsch L-3230 Bettembourg Beetebuerg,,,,,Auto Thionville Casse Auto,,,,,,,,
,9 Rue Jéréme de Busleyden L-9639 Boulaide Bauschelt,,,,,,,,,,,,,
,14 Rue J.-P. Thill L-9085 Ettelbruck Ettelbréck,,,,,,,,,,,,,
,8 Rue du Commerce L-3895 Foetz Feiz,,,,,,,,,,,,,
,37-41 Route de lEurope L-5531 Remich Réimech,,,,,,,,,,,,,
,12 Route dEttelbruck L-9160 Ingeldorf Angelduerf,,,,,,,,,,,,,
,7 Rue des Trois Cantons L-3980 Wickrange Wickreng,,,,,,,,,,,,,
,319 Rue de Belval L-4024 Esch-sur-Alzette Esch-Uelzecht,,,,,,,,,,,,,
,20 Rue dArlon L-9155 Grosbous Groussbus,,,,,,,,,,,,,
,2 Weltzerstrooss L-9643 Buederscheid Bitscht,,,,,,,,,,,,,
,18 Route dEttelbruck L-9230 Diekirch Dikrech,,,,,,,,,,,,,
,20 Z.A.C. Klengbousbierg L-7795 Bissen Biissen,,,,,rivate sector e Servicesatthespecialists  Trading,,,,,,"ervices Practical Company E earch by activity Duty Pharmacies Digital Marketing Agency A earch by location Hospitals on duty Marketing solutions for companies C equest a quote Route information Website creation Cc ractical guide Horoscope Ecommerce website E Postcode Finder Business Directory Registration E irectly access an activity on Luxembourg Jucation, training and employment  Garage, transport and mobility  Hotel,Restaurant,Tavern  Ind arage Editus.lu provides you with all the results for Garage. Refine your search Luxembourg, Esch-sur-Alzette, Bertrange, Bodywork, C oking for address, telephone number, fax number... Call your contacts free of charge and locate them on a map.",,
"- in ao 1.0.2501.2403 Copyright  2025 - Editus Luxembourg S.A. - 208, rue de Noertzange L-3670",L-8070 Bertrange Bartreng,,,,Monday to,"variety of professionals, brands, and services.",,,,,,It is now much easier to find a garage in Luxembourg. AUTOPOLIS Vous souhaitez étre mis en avant,,
,8 Zone dActivités Grousswiss L-6833 Biwer Biwer,,,,,Centrale de Jantes Eurl Citroén CAR Avenue Dudelange,,,,,,,,
,1 Route de Luxembourg L-3515 Dudelange Diddeleng,,,,,,,,,,,,,
,82 Rue de Soleuvre L-4670 Differdange Déifferdang,,,,,,,,,,,,,
,1 Route de Remich L-5690 Ellange Elleng,,,,,,,,,,,,,
,48 Hiel L-5485 Wormeldange-Haut Wormer Berreg,,,,,,,,,,,,,
,47 Duarrefstrooss L-9990 Weiswampach Wdiswampech,,,,,,,,,,,,,
,31 Rue St Nicolas L-4263 Esch-sur-Alzette Esch-Uelzecht,,,,,,,,,,,,,
,5 Quai de la Moselle L-5405 Bech-Kleinmacher Bech-Maacher,,,,,,,,,220.0,,,,
,1-2 An der Schmelz L-4328 Esch-sur-Alzette Esch-Uelzecht,,,,,Garage Losch  Cie Sarl,,,,,,,,
,L-6131 Junglinster Jonglénster,,,,,Garage M. Losch Bereldange  Losch FS,,,,,,,,
,6 Cité Grand-Duc Jean L-7233 Bereldange Bareldeng,,,,,,,,,,,,,
,14 Rue de IEglise L-4732 Pétange Péiteng,,,,,Kiggens Classic Workshop Sarl,,,,234.0,,,,
,107 Rue Principale L-9834 Holzthum Holztem,,,,,,,,,,,,,
,6 Route de Luxembourg L-5670 Altwies Altwis,,,,,a A a i A TY,,,,236.0,,,,
,45 An der Fraesbich L-8509 Redange-sur-Attert Réiden Atert,,,,,René Beelener et CIE Sarl,,,,,,,,
,1 Rue Alphonse Sinner L-7546 Rollingen Rolleng,,,,,,,,,,,,,
,3 Zone A. C. Kléngbusbierg L-7795 Bissen Biissen,,,,,Aero AutoFactoria Group SA,,,,,,,,
,1 Zone Industrielle Letzebuerger Heck L-3844 Schifflange Schéffleng,,,,Monday to,"variety of professionals, brands, and services.",,,,,,It is now much easier to find a garage in Luxembourg. Vous souhaitez étre mis en avant,,
,L-8070 Bertrange Bartreng,,,,,,,,,,,,,
,3 Rue des Artisans L-4566 Niederkorn Nidderkuer,,,,,,,,,,,,,
,5 Am Eck L-8715 Everlange lewerleng,,,,,ARS Automobile Repair Systems,,,,,,,,
,Sm 9 Rue Pierre Kersch L-4175 Esch-sur-Alzette Esch-Uelzecht,,,,,Garage Smart Repair Bodywork - Motor vehicle,,,,,,"Nous sommes spécialisés dans lart du débosselage sans peinture, une technique innovante et efficace pour restaurer lapparence originale de votre véhicule sans recourir G une nouvelle couche de peinture codteuse.Que ce soit des dégGts causés par la...",,
,20 Rue dArlon L-9155 Grosbous Groussbus,,,,,MP Concept Design Sarl,,,,,,,,
,7 Rue du Moulin L-7376 Bofferdange Bouferdeng,,,,,,,,,,,,,
,128 Route de Thionville L-2610 Luxembourg Létzebuerg,,,,,,,,,,,,,
,4 Rue des Artisans L-3895 Foetz Feiz,,,,,,,,,,,,,
,2 Rue Geespelt L-3378 Livange Léiweng,,,,,Garage André Losch Sarl  Porsche Zenter Létzebuer,,,,,,,,
,5 Rue des Joncs L-1818 Howald Houwald,,,,,,,,,,,,,
,2 Route de Cruchten L-7759 Roost Rouscht,,,,,,,,,,,,,
,12 Route dArlon L-8008 Strassen Stroossen,,,,,,,,,,,,,
,128 Route de Thionville L-2610 Luxembourg Létzebuerg,,,,,FM Auto-Le Garage Sarl,,,,,,,,
,40-42 Rue de IIndustrie L-8069 Strassen Stroossen,,,,,Jaguar Land Rover Luxembourg,,,,,,,,
,128 Route de Thionville L-2610 Luxembourg Létzebuerg,,,,,Jaguar Land Rover Sud,,,,,,,,
,9 Zone dAménag. Concertée Haneboesch II L-4563 Differdange Déifferdang,,,,,Garage Robert Gelz Sarl,,,,,,,,
,22 Rue de Luxembourg L-8440 Steinfort Stengefort,,,,,,,,,,,,,
,9 Rue Wiltheim L-5465 Waldbredimus Waldbriedemes,,,,Monday to,"variety of professionals, brands, and services.",,,,,,It is now much easier to find a garage in Luxembourg. Vous souhaitez étre mis en avant,,
,L-8070 Bertrange Bartreng,,,,,,,,,,,,,
,110 Rue de Luxembourg L-4221 Esch-sur-Alzette Esch-Uelzecht,,,,,,,,,,,,,
,7 Rue Neuve L-3938 Mondercange Monnerech,,,,,,,,,,,,,
,1 Rue HiehI L-6131 Junglinster Jonglénster,,,,,,,,,,,,,
,42 Rue Hiehl - Zone dActivité  Comm. Laangwiss L-6131 Junglinster Jonglénster,,,,,,,,,,,,,
,55-57 Rue Basse L-3813 Schifflange Schéffleng,,,,,,,,,,,,,
,43 Route dArlon L-8706 Useldange Useldeng,,,,,,,,,188.0,,,,
,477 Route de Thionville L-5887 Alzingen Alzeng,,,,,,Renault Groupe Autosphere  Dudelange,,,,,,,
,240 Route de Luxembourg L-3515 Dudelange Diddeleng,,,,,,,,,,,,,
,97 Rue Muhlenweg L-2155 Luxembourg Létzebuerg,,,,,,,,,,,,,
,3 Rue Pierre Grégoire L-4702 Pétange Péiteng,,,,,,,,,,,,,
,4l Zone dactivité Triangle Vert L-5691 Ellange Elleng,,,,,,,,,,,,,
,20 Zone dactivité  Commerciale Klengbousbierg L-7795 Bissen Biissen,,,,,,,,,,,,,
,37 Dikrecherstrooss L-8523 Beckerich Biekerech,,,,,,,,,,,,,
,1 Gaessel L-8282 Kehlen Kielen,,,,,,,,,,,,,
,55 Haaptstrooss L-9835 Hoscheid-Dickt Houschter-Déckt,,,,,,,,,,,,,
,2 Rue Victor Braun L-6744 Grevenmacher Gréiwemaacher,,,,,,,,,,,,,
,5 Am Eck L-8715 Everlange lewerleng,,,,,,,,,7.0,,,,
,45 Rue de IIndustrie L-8069 Strassen Stroossen,,,,Monday to,"variety of professionals, brands, and services.",,,,,,It is now much easier to find a garage in Luxembourg. AUTOPOLIS Vous souhaitez étre mis en avant,,
,L-8070 Bertrange Bartreng,,,,CHALET Tuesday to 0800,Chalet Center Kirschten Sarl,,,,,4.0,,,
,ES 9 Kriibsebaach L-9365 Eppeldorf Eppelduerf,,,,Monday to 0730,"de garages, de carports et dautres réalisations en bois. De la planification en passant par le suivi des travaux Ask for a quote  Website Garden Gazebos Contractors Landscaper Garage",,,,,,,,
,23 Rue Léon Laval L-3372 Leudelange Leideleng,,,,Ba A Monday to 1000,"référence Skoda au Luxembourg mais aussi un... Véhicule sale Tyres Car bodies Garage AVU, Aménagement de voitures utilitaires by Breger Sarl",,,,,,,,
,fe ia  4lA Zone Industrielle L-8287 Kehlen Kielen,,,,Monday to 0900,"SORTIMO has designed, manufactured, sold van racking solutions. The portfolio includes solutions for various commercial activities, crafts and... Commercial vehicle Development of commercial vehicle Véhicule sale Electric car Garage",,,,,,,,
,4 Rue de Avenir L-3895 Foetz Feiz,,,,Monday to 0700,Nous avons le plaisir de vous accueillir d travers notre agence Luxembourgeoise  ADS Concept Car est un Véhicule sale Second hand car Luxury car Garage Liebaert Claude Gérant associé,,,,,3.0,,,
,L-2633 Senningerberg Sennengerbierg,,,,ART ARS Monday to 0900,"Monsieur Liébaert Claude est gérant-associé de Ientreprise Nouveaux Ets Liébaert, entreprise familliale créée métaux, la demolition automobile... Recycling Companies Metal recycling Waste recycling Cars - Breakers yards Garage lagence automobile by ARTCARS",,,,,,,,
,roetz  Rue de lAvenir L-3895 Foetz Feiz,,,,Monday to 0830,"LAgence Automobile by ARTCARS est un intermédiaire pour les particuliers qui souhaitent vendre et acheter un véhicule doccasion.Basé sur le méme principe quune agence immobiliére, Agence Automobile by Véhicule sale Sale warehouse Garage",,,,,,,,
,AD Dernier Sol L-2543 Luxembourg Létzebuerg,,,,,Tyres Tire mounting Tyres for vehicles Garage,,,,,,,,
,37 Rue Romain Fandel L-4149 Esch-sur-Alzette Esch-Uelzecht,,,,Monday to 0800,Road patrol and towing services Garage,,,,,,"Bienvenue chez Carpol, votre partenaire de confiance pour tous vos besoins en dépannage de véhicules et",,
,82 Rue de Soleuvre L-4670 Differdange Déifferdang,,,,Pa lexyAtita Monday to 0800 Ab Monday to 0800,"Vente et achat de véhicules doccasionReprise de votre véhicule et financement possible Véhicule sale Mechanical workshop Electric motorcar equipment belge.Vous étes un professionnel ou un particulier et vous recherchez pour votre véhicule, des piéces Automotive Accessory Motor vehicle spare parts Auto recycling Second hand car Garage ADL - Ateliers Dostert Lorentzweiler vous propose - Constructions métallique de benne , plateau et conteneur.- Découpe, pliage et soudure sur tous métaux alu, inox, acier- Carrossage de camion poids lourds - Réparation et... ADL - Ateliers Dostert Lorentzweiler Sarl",,,,,,,,
,L 35 Route de Luxembourg L-7372 Lorentzweiler Luerenzweiler,,,,Pasiana Monday to 0830,Metals Boiler making - Metal Hydraulic Steel construction - Workshops Garage,,,,9.0,,,,
,siana 238 Route de Luxembourg L-3515 Dudelange Diddeleng,,,,Ps Monday to 0800,Commercial vehicle Repair of vintage wheels for classic cars Garage,,,,,5.0,"Bienvenue chez CASIANA SARL, votre destination privilégiée pour lachat de véhicules doccasion et de jantes toutes marques doccasion  Dudelange  Notre société se spécialise exclusivement dans la vente de voitures doccasion et de jantes... CAR Market BY Garage Grasges Sarl",,
,semen 36 Route dEttelbruck L-9230 Diekirch Dikrech,,,,Vous cherchez un véhiculeNous vous accueillons du lundi au vendredi de 8h 4 12h et de 13h G I7hEt le samedi,Véhicule sale Car bodies Garage Sprint Cars and More Sarl,,,,,2.0,,,
,spainrcans 36 A Rue Alexander Fleming L-3467 Dudelange Diddeleng,,,,Monday to 0800,"Bienvenue chez Sprint Cars and More, situé G Dudelange Nous sommes une entreprise spécialisée dans la vente de véhicules doccasion récents et de qualité en provenance du Luxembourg.Depuis notre création en Véhicule sale Second hand car Garage",,,,,,,,
,12 Rue Jean Engling L-1466 Luxembourg Létzebuerg,,,,,Commercial vehicle Véhicule sale Motor vehicle equipment Garage,,,,,,,,
,7 Rue Henri Tudor L-5366 Munsbach Minsbech,,,,,,,,,,,,,
,9 Rue du Chemin de Fer L-3766 Tétange Téiteng,,,,,RENAULT ECHTERNACH - GARAGE SCHNEIDERS,,,,,,,,
,17 Route de Luxembourg L-6450 Echternach lechternach,,,,,,FordStore Paul Wengler,,,,,,,
,24-40 Avenue des Alliés L-9012 Ettelbruck Ettelbréck,,,,Monday to,aS Sponsoriser ma société,,,,,,,,
,L-8070 Bertrange Bartreng,,,,Tuesday to 0900 Monday to 0700,"BR PERFORMANCE, la référence en préparation automobile.Depuis plusieurs années, nous investissons dans ce qui ce fait de mieux en matiére de diagnostics, délectronique et déquipements embarqués. Nos installations Engines Motor reprogramming Automotive Accessory Tuning Garage",,,,,,,,
,v ATMEC 17 Route dEchternach L-6212 Consdorf Konsdref,,,,Monday to 0800,Mechanical workshop Road patrol and towing services Mechanical hand tools Garage,,,,,,"mechanics and hydraulics. We work on agricultural machines, construction equipment, forestry equipment, and any other type of vehicle requiring... FC Clean Auto SARL",,
,FCCLEANAUTO 48 Rue Joseph Kieffer L-4176 Esch-sur-Alzette Esch-Uelzecht,,,,Monday to 0830,Vehicle wash Car cleaning Motor vehicle inspection service Rim cleaning Garage,,,,,4.0,"FC Clean Auto is your specialist in automobile cleaning and detailing. Refurbishment, vehicle protection or Whatever your needs and the...",,
,allZ cars 9 Rue du Commerce L-3895 Foetz Feiz,,,,Monday to 0700,"exclusively use MAFRAs professional car cleaning product line to restore that new car look and pure driving pleasure. Furthermore, all bodywork and... Automotive Accessory Cars - Accessories, equipment and furnishing Tyres Aluminium wheels CW Lo P Y",,,,2.0,5.0,,,
,ciassic wonnsuoe L-4984 Sanem Suessem,,,,Monday to 1400,"Nous nous spécialisons dans - La réparation et restauration de voitures classiques- Entretien, maintenance",,,,,4.0,et évaluations- Conseils techniques- Transports nationaux et internationaux en remorque fermée- Commerce de voitures de collection- Recherche... Véhicule sale Oldtimer Luxury car Garage,,
,29 Rue Robert Krieps L-4702 Pétange Péiteng,,,,Monday to 0900,"Le garage M-Line Cars, est spécialisé dans lachat et la vente de véhicules.Nous vous proposons un service",,,,,,"complet, comprenant Iimmatriculation de celui-ci en France ou au Luxembourg mais également la réalisation du contréle technique de votre... Solar Film Protect Sarl",,
,8A Rue des Artisans L-3895 Foetz Feiz,,,,Monday to 0730,Veranda Sun awning Advertisement lettering services Window film Garage,,,,,5.0,Solar Film Protect située G Foetz est spécialisée dans la protection solaire pour tous les vitrages dhabitations Stoll Trucks I Location,,
,2 Rue de la Poudrerie L-3364 Leudelange Leideleng,,,,Pneus Monday to 0800,"Stoll Trucks  Location  Leudelange  Rollingen NOUVEAU  LOUEZ MAINTENANT AU DEPART DE NOTRE NOUVELLE AGENCE DE ROLLINGEN Spécialiste de la location courte, moyenne et longue durée de véhicules utilitaires et industriels au Luxembourg, Stoll... Vehicle rental Renting - Trucks and lorries Commercial vehicle Hire - Vehicle short-time A.M. Pneus Discount Sarl",,,,,4.0,,,
,Discount 37 Rue Romain Fandel L-4149 Esch-sur-Alzette Esch-Uelzecht,,,,Monday to 0800 VAN Monday to 0730,"dépannage pneus ainsi que des pneus hiver et été.Prenez rendez-vous Tyres Winter Tyres Garage deffectuer Ienlévement et la destruction intégrale de véhicules devenus des paves ou ceux accidentés. Situé sur la commune de Florange, nous... Automotive Accessory Motor vehicle spare parts Auto recycling Cars - Breakers yards Petrymobil Garage Petry Sarl",,,,3.0,,,,
,oN 40 Rue Hiehl L-6131 Junglinster Jonglénster,,,,Monday to 0900,"Le Garage Petrymobil situé en plein coeur de la zone industrielle de Junglinster est dans un grand showroom moderne.Plongez dans Iunivers automobile avec le groupe Petrymobil, votre destination de confiance au Luxembourg.En tant que retailer officiel... Véhicule sale Automobile  Citroén Tyres Car bodies Garage",,,,,,,,
,WIG 173 Rue de Belvaux L-4026 Esch-sur-Alzette Esch-Uelzecht,,,,ART ARS Monday to 0900,negotiates framework agreements for their non-strategic products and services. These purchases are too,,,,,,"Thanks to the volume effect, and the rationalization of the number of suppliers, the Widoo Procurement Group often neglected, due to lack... Business consulting Office supplies Cleaning products soaps, washing powders and detergents lagence automobile by ARTCARS",,
,evtelbruck 170B Rue de Bastogne L-9011 Ettelbruck Ettelbréck,,,,fe Monday to 0600,"LAgence Automobile by ARTCARS est un intermédiaire pour les particuliers qui souhaitent vendre et acheter un véhicule doccasion.Basé sur le méme principe quune agence immobiliére, IAgence Automobile by ARTCARS basée G Ettelbruck, propose ses... Véhicule sale Sale warehouse Garage",,,,,5.0,,,
,WLCRBLUX... 3 Rue Fontebierg L-3381 Livange Léiweng,,,,Monday to 0800,remorques et bennes amovibles. Nous sommes importateurs des produits CRAMARO et RAPIDBACHE.Nous vous proposons aussi toute une gamme de filets... Display Tarpaulin Automotive Accessory Pvc tarpaulin Garage,,"CRB LUX est une entreprise luxembourgeoise spécialisée dans le bachage des bennes, remorques, semi-",,7.0,,,,
,pegprect 6 Z.A.C. Haneboesch II L-4563 Niederkorn Nidderkuer,,,,Monday to 0630,equipment. Yannick Oliger and his team of five employees are on hand to welcome you and advise you alll year long. A major stakeholder in... Ask for a quote bh Website Consulting engineers Hydraulic Paints Compressor Garage,,,,,,,,
,1 Rue Fontebierg L-3381 Livange Léiweng,,,,Monday to 0800,"Livange.Volvo trucks  Volvo bus.Nous avons de Ia vente de Volvo. Notre aprés-vente est multi- marques.vVente, entretien, reparation et piéces... Commercial vehicle Truck Coaches and busses Refrigerated truck Garage",,,,,5.0,,,
,39 Rue Charlotte L-4719 Pétange Péiteng,,,,Monday to 0800,"Bienvenue chez MB Cars, votre partenaire automobile de confiance pour lachat et la vente de véhicules neufs entiéres de passion et dengagement... Véhicule sale Car care Garage ag SV Lux Design",,,,,,,,
,yj 4 Route de Longwy L-4830 Rodange Rodange,,,,CH Monday to 0800,Creative art studios and graphic design studios Advertisement lettering services,,,Transfers - Self-adhesive Garage,,,"covering de véhicules, le PPF, lettrage, impression ou encore la création de vos enseignes.Besoin dune baéche publicitaire Nous avons les...",,
,26 Z.A.C. Klengbousbierg L-7795 Bissen Biissen,,,,Monday to 0800,Tyres Tire mounting Motor vehicle inspection service Tyres for vehicles Garage,,,,,4.0,"JM Pneus Sarl est implanté a Bissen.Fort de notre expertise, nous vous apportons nos conseils sur une large gamme de pneus et jantes pour tous types de véhicules  voitures, SUV, agricoles, poids lourds, ...vous trouverez un grand choix de marques...",,
,47 Rue de Hollerich L-1741 Luxembourg Létzebuerg,,,,Monday to,service.Pour vos changements de...,,,,,,Rodighiero Pneus vous accueille dans ces différents centres  Luxembourg et Lamadelaine et vous propose un Tyres Tyres for vehicles Garage AUTOPOLIS Vous souhaitez étre mis en avant,,
,L-8070 Bertrange Bartreng,,,,Monday to 0730,,,,,,3.0,,,
,14 Rue du Brill L-3898 Foetz Feiz,,,,@ Monday to 0730 Monday to 0830,Petroleum Services Exploitation SA,,Autocenter Goedert est le centre auto leader sur le marché luxembourgeois des prestations et produits,,,5.0,"répondre aux attentes dans les domaines de la... Mechanical workshop Automotive Accessory Tyres for vehicles Garage Scania est lun des principaux fournisseurs mondiaux de solutions de transport, notamment de camions et de Commercial vehicle Truck Coaches and busses Refrigerated truck Garage",,
,v 4 Lotissement Vulcalux L-8399 Windhof Wandhaff,,,,ecw Monday to 0800 Monday to 0800,Tyres Motor vehicle inspection service Tyres for vehicles Garage,,,,4.0,4.0,La société gére un stock important de pneus et daccessoires voitures.Pneus Goedert vend des pneus et accessoires auto.Passage au contréle technique pour clients particuliers.Nous proposons tous types de,,
,oe 1 Zone Industrielle op Stackem L-9952 Drinklange Drénkelt,,,,Monday to 0800,"Lux Autoland is your efficient mobility partner in Luxembourg. With a wide range of new cars, six-monthly and we help you to always stay... Véhicule sale Tyres Electric motorcar equipment Garage","annual cars as well as used cars from VW, Audi, Skoda, Seat and Mercedes and the accompanying service,",,,,4.0,,,
,femmes 459 Route de Wasserbillig L-6686 Mertert Mdertert,,,,Monday to 0800,"La satisfaction du client est au centre de notre travail.En tant quatelier automobile indépendant, nous essayons datteindre cet objectif encore et encore grace Gd la compétence professionnelle, la fiabilité, la qualité et lintérét pour notre... Mechanical workshop Automotive Accessory Tyres for vehicles Garage Colmar-Berg, Luxembourg, strive to... Tyres Automotive Accessory Industrial research Garage",,,,1.0,3.0,,,
,31A Duarrefstrooss L-9944 Beiler Beeler,,,,Temporary closure Open Monday 17 March to 0730,convenient home service and appointments in the municipality of Hollenfels.Our dedicated team provides a,,,,,4.0,full range of car cleaning and... Vehicle wash Car cleaning products Garage Stephany William Réparation  Restauration Tracteurs complet et personnalisé pour la prise en charge de votre tracteur. Je me rends directement G votre domicile pour évaluer les travaux nécessaires....,,
,L-5280 Sandweiler Sandweiler,,,,Monday to 0800,"Votre Autocenter Goedert Sandweiler est fermé temporairement. Les Autocenter Goedert de Bereldange, Belle Goedert S.A. est une... Mechanical workshop Vehicle wash Tyres for vehicles Garage",,,,,,,,
,33 Route de Luxembourg L-4972 Dippach Dippech,,,,WREINERT Monday to 0800,et une équipe de professionnels... Véhicule sale Second hand car Oldtimer Garage,,,,,4.0,,,
,wosSvemmucn 6 RU@ du Chateau dEau L-3364 Leudelange Leideleng,,,,Monday to 0900,"La société REINERT Sarl est spécialisée dans la distribution de fournitures industrielles dans les domaines de - lautomobile piéces auto, équipement de garages - lindustrie outillage, aspirateurs, rayonnages, produits Ask for a quote y Website Tool kits Paints Uniforms Garage Car Wash Goedert Bertrange",,,,,3.0,,,
,L-8070 Bertrange Bartreng,,,,Monday to 1000,"Quel que soit le programme de lavage choisi, un opérateur vous accueille dés Ientrée du tunnel de lavage et prépare votre véhicule, en le prélavant manuellement, en pulvérisant du produit a jantes sur les quatre roues et du produit de prélavage sur... Vehicle wash Automotive Accessory Tyres for vehicles Garage",,,,,,,,
,10 Rue de IAvenir L-3895 Foetz Feiz,,,,G TE C H Monday to 0800,Véhicule sale Second hand car Commercial vehicle Car care Garage,,,,,,,,
,slectricite générale. 1 Um Klaeppchen L-5720 Aspelt Uespelt,,,,Monday to 0900,"systems.Based in Aspelt, our general electricity company offers its services to private individuals",,,,17.0,5.0,"professionals, as well for the... Ask for a quote  Website Electrician installer Electrical system Electricity - Supplies and accessories Apparatus for electrical installation Garage",,
,94 Rue de Belvaux L-4025 Esch-sur-Alzette Esch-Uelzecht,,,,Monday to 0800,Découvrez la différence avec Solar Control  DesignFourniture et pose de films de protection solaire Réduction de la chaleur et des UV Amélioration de lefficacité énergétiqueSolar Control  Design Votre partenaire de confiance pour la... Ask for a quote  Website Veranda Sun awning Kitchen Store Garage,,,,5.0,4.0,,,
,76 Route de Luxembourg L-4876 Lamadelaine Rolleng,,,,Monday to 0800,Tyres Tools and machines - Air-operated Garage,,,,,4.0,,,
,21 Létzebuergerstrooss L-5752 Frisange Fréiseng,,,,Monday to 0800,Pneus Center vous accueille a Frisange. Nous vous proposons un des plus grands choix de pneumatiques hiver et té de la région. Nos prix exceptionnels ont fait depuis longtemps notre renommeée. Nous... Tyres Tyres for vehicles Winter Tyres Garage Car Wash Goedert Belle Etoile,,,,,2.0,,,
,L-8050 Bertrange Bartreng,,,,Monday to,wagon repair and maintenance...,,,,,,"Quel que soit le programme de lavage choisi, un opérateur vous accueille dés Ientrée du tunnel de lavage et prépare votre véhicule, en le prélavant manuellement, en pulvérisant du produit a jantes sur les quatre roues et du produit de prélavage sur... Vehicle wash Automotive Accessory Tyres for industry Garage CFL technics, formerly known as Ateliers de Pétange, is a subsidiary of CFL cargo. With extensive experience Railways Rail vehicle equipment and accessories Garage AUTOPOLIS Vous souhaitez étre mis en avant",,
,L-8070 Bertrange Bartreng,,,,Monday to 0800,,Nissan Toyota Foetz,,,,,,,
,200 Rue de Brill L-3844 Schifflange Schéffleng,,,,,Garage Automotive Accessory Car bodies Garage Marco Sinner Sarl,,,,,,,,
,140 Rue Principale L-8611 Platen Platen,,,,,,,,,,4.0,,,
